Country Name,Country Code,Indicator Code,year,value
Bolivia,BOL,GOV_WGI_CC_EST,2020,-0.8045643
Bolivia,BOL,IT.NET.BBND.P2,2020,7.88671647526861
Bolivia,BOL,NY.GDP.PCAP.PP.CD,2020,9580.98962081658
Bolivia,BOL,TX.VAL.TECH.MF.ZS,2020,4.325217851055254
Bolivia,BOL,IT.CEL.SETS.P2,2020,99.898817726261
Bolivia,BOL,GOV_WGI_PV_EST,2020,-0.3855901
Bolivia,BOL,GOV_WGI_RL_EST,2020,-1.2021414
Bolivia,BOL,SE.TER.ENRR,2020,
Bolivia,BOL,IP.JRN.ARTC.SC,2020,169.82
Bosnia and Herzegovina,BIH,GOV_WGI_CC_EST,2020,-0.624659499999999
Bosnia and Herzegovina,BIH,IT.NET.BBND.P2,2020,23.3507882918721
Bosnia and Herzegovina,BIH,NY.GDP.PCAP.PP.CD,2020,16369.93531978359
Bosnia and Herzegovina,BIH,TX.VAL.TECH.MF.ZS,2020,4.614452473673617
Bosnia and Herzegovina,BIH,IT.CEL.SETS.P2,2020,106.374742411306
Bosnia and Herzegovina,BIH,GOV_WGI_PV_EST,2020,-0.2690285
Bosnia and Herzegovina,BIH,GOV_WGI_RL_EST,2020,-0.3025925
Bosnia and Herzegovina,BIH,SE.TER.ENRR,2020,43.8039207458496
Bosnia and Herzegovina,BIH,IP.JRN.ARTC.SC,2020,1007.25
Botswana,BWA,GOV_WGI_CC_EST,2020,0.7218389
Botswana,BWA,IT.NET.BBND.P2,2020,3.58604400704343
Botswana,BWA,NY.GDP.PCAP.PP.CD,2020,15292.262467325198
Botswana,BWA,TX.VAL.TECH.MF.ZS,2020,0.4057128034922768
Botswana,BWA,IT.CEL.SETS.P2,2020,161.858815314634
Botswana,BWA,GOV_WGI_PV_EST,2020,1.0835182
Botswana,BWA,GOV_WGI_RL_EST,2020,0.33481
Botswana,BWA,SE.TER.ENRR,2020,22.4017870513653
Botswana,BWA,IP.JRN.ARTC.SC,2020,319.29
Brazil,BRA,GOV_WGI_CC_EST,2020,-0.337231599999999
Brazil,BRA,IT.NET.BBND.P2,2020,17.418059685583
Brazil,BRA,NY.GDP.PCAP.PP.CD,2020,16101.618306295422
Brazil,BRA,TX.VAL.TECH.MF.ZS,2020,11.350094267880449
Brazil,BRA,IT.CEL.SETS.P2,2020,98.6456198619193
Brazil,BRA,GOV_WGI_PV_EST,2020,-0.427421599999999
Brazil,BRA,GOV_WGI_RL_EST,2020,-0.392171899999999
Brazil,BRA,SE.TER.ENRR,2020,55.529109954834
Brazil,BRA,IP.JRN.ARTC.SC,2020,66901.34
British Virgin Islands,VGB,GOV_WGI_CC_EST,2020,
British Virgin Islands,VGB,IT.NET.BBND.P2,2020,19.0925003366097
British Virgin Islands,VGB,NY.GDP.PCAP.PP.CD,2020,
British Virgin Islands,VGB,TX.VAL.TECH.MF.ZS,2020,
British Virgin Islands,VGB,IT.CEL.SETS.P2,2020,94.6896458866299
British Virgin Islands,VGB,GOV_WGI_PV_EST,2020,
British Virgin Islands,VGB,GOV_WGI_RL_EST,2020,
British Virgin Islands,VGB,SE.TER.ENRR,2020,30.475763016158
British Virgin Islands,VGB,IP.JRN.ARTC.SC,2020,
Brunei Darussalam,BRN,GOV_WGI_CC_EST,2020,1.183555
Brunei Darussalam,BRN,IT.NET.BBND.P2,2020,15.886760064729
Brunei Darussalam,BRN,NY.GDP.PCAP.PP.CD,2020,69787.96327957169
Brunei Darussalam,BRN,TX.VAL.TECH.MF.ZS,2020,1.3389570491639085
Brunei Darussalam,BRN,IT.CEL.SETS.P2,2020,119.933885258067
Brunei Darussalam,BRN,GOV_WGI_PV_EST,2020,1.1645233
Brunei Darussalam,BRN,GOV_WGI_RL_EST,2020,0.5634206
Brunei Darussalam,BRN,SE.TER.ENRR,2020,27.4692556634304
Brunei Darussalam,BRN,IP.JRN.ARTC.SC,2020,257.49
Bulgaria,BGR,GOV_WGI_CC_EST,2020,-0.258415699999999
Bulgaria,BGR,IT.NET.BBND.P2,2020,30.5042854761098
Bulgaria,BGR,NY.GDP.PCAP.PP.CD,2020,27351.86074486011
Bulgaria,BGR,TX.VAL.TECH.MF.ZS,2020,11.303272578422265
Bulgaria,BGR,IT.CEL.SETS.P2,2020,114.596737765322
Bulgaria,BGR,GOV_WGI_PV_EST,2020,0.4210468
Bulgaria,BGR,GOV_WGI_RL_EST,2020,-0.1505346
Bulgaria,BGR,SE.TER.ENRR,2020,85.5331115722656
Bulgaria,BGR,IP.JRN.ARTC.SC,2020,4475.96
Burkina Faso,BFA,GOV_WGI_CC_EST,2020,-0.2018274
Burkina Faso,BFA,IT.NET.BBND.P2,2020,0.0650831126106853
Burkina Faso,BFA,NY.GDP.PCAP.PP.CD,2020,2380.722827818022
Burkina Faso,BFA,TX.VAL.TECH.MF.ZS,2020,3.4012347995173298
Burkina Faso,BFA,IT.CEL.SETS.P2,2020,102.972844247019
Burkina Faso,BFA,GOV_WGI_PV_EST,2020,-1.4159765
Burkina Faso,BFA,GOV_WGI_RL_EST,2020,-0.418916099999999
Burkina Faso,BFA,SE.TER.ENRR,2020,7.64277062242324
Burkina Faso,BFA,IP.JRN.ARTC.SC,2020,314.28
Burundi,BDI,GOV_WGI_CC_EST,2020,-1.3529714
Burundi,BDI,IT.NET.BBND.P2,2020,0.0335260991567275
Burundi,BDI,NY.GDP.PCAP.PP.CD,2020,958.1355994900838
Burundi,BDI,TX.VAL.TECH.MF.ZS,2020,0.1204955015887759
Burundi,BDI,IT.CEL.SETS.P2,2020,52.5571219738138
Burundi,BDI,GOV_WGI_PV_EST,2020,-1.49526809999999
Burundi,BDI,GOV_WGI_RL_EST,2020,-1.32121199999999
Burundi,BDI,SE.TER.ENRR,2020,
Burundi,BDI,IP.JRN.ARTC.SC,2020,37.16
Cabo Verde,CPV,GOV_WGI_CC_EST,2020,0.8002643
