Country Code,Country Name,year,GOV_WGI_CC_EST,GOV_WGI_PV_EST,GOV_WGI_RL_EST,IP.JRN.ARTC.SC,IT.CEL.SETS.P2,IT.NET.BBND.P2,NY.GDP.PCAP.PP.CD,SE.TER.ENRR,TX.VAL.TECH.MF.ZS
BDI,Burundi,2023,-1.29205449999999,-1.2840156,-1.30785589999999,36.26,63.1631365759764,0.0203441336211462,1149.9840584238932,6.02545976638794,1.3050836704109754
BDI,Burundi,2024,-1.46248849999999,-1.3763566,-1.3028277,,,,1194.9468137038734,,
BDI,Burundi,2025,,,,,,,,6.38454008102417,
BEL,Belgium,2020,1.5662608,0.3686413,1.4533249,16602.95,99.9100614924974,41.0239697084264,56120.09584204656,79.4996032714844,15.261861578971311
BEL,Belgium,2021,1.5502151,0.461917,1.4052126,17845.94,101.462935633736,43.0218054966431,60669.21377465312,82.6882019042969,21.37996387637373
BEL,Belgium,2022,1.5774306,0.2465264,1.3398087,17124.05,101.680355820653,43.5657139519422,69128.13888838432,83.5736465454102,22.817913517326545
BEL,Belgium,2023,1.467016,0.1994126,1.2719977,16816.32,103.196426365374,43.7026445985633,71946.14471902922,82.1475601196289,18.6668227645892
BEL,Belgium,2024,1.4687812,0.1214526,1.282799,,103.90465332676,44.2321563183446,73514.48310452583,,20.39214534222356
BEL,Belgium,2025,,,,,,,,,
BEN,Benin,2020,-0.0352655,-0.283192699999999,-0.393457699999999,351.4,85.2390738023357,0.229384945213792,3244.58772756805,10.3808002471924,1.8436494297798645
BEN,Benin,2021,-0.1642663,-0.4106645,-0.3852134,402.31,94.9182598289459,0.154166533404575,3464.2886286745,9.82796955108643,2.6984468993049537
BEN,Benin,2022,-0.1108108,-0.4373008,-0.468466,441.45,105.745019386968,0.153072411564925,3844.154157458155,10.2350101470947,4.287156206215209
BEN,Benin,2023,-0.1047671,-0.3096247,-0.390917399999999,437.17,116.036046685168,0.170880461346773,4129.966120014199,,4.418015139759824
BEN,Benin,2024,-0.2407154,-0.4030099,-0.4124793,,125.940873932186,0.277382047807868,4434.564218402803,,30.5389584270212
BEN,Benin,2025,,,,,,,,,
BFA,Burkina Faso,2020,-0.2018274,-1.4159765,-0.418916099999999,314.28,102.972844247019,0.0650831126106853,2380.722827818022,7.64277062242324,3.4012347995173298
BFA,Burkina Faso,2021,-0.2024751,-1.5801637,-0.401084599999999,357.04,112.198419449151,0.0740660150924452,2486.4309314776174,9.30513098594236,2.256539167833058
BFA,Burkina Faso,2022,-0.2342071,-1.82102069999999,-0.6266501,451.82,113.996146792235,0.214398323020291,2645.2406799661094,9.67069485831779,1.528998976495303
BFA,Burkina Faso,2023,-0.2479719,-2.0423169,-0.7145087,519.72,116.16313821519,0.459463342299517,2759.3020548460527,10.1078755635882,3.7978465983735137
BFA,Burkina Faso,2024,-0.2525569,-1.9063314,-0.883858599999999,,116.5895933212,0.851360416490348,2895.891520336648,10.0419678526515,1.6454890195088876
BFA,Burkina Faso,2025,,,,,,,,,
BGD,Bangladesh,2020,-1.07605779999999,-1.01518479999999,-0.8969166,5084.6,106.002140470412,6.04506220711318,6640.584373310621,22.6923019564501,
BGD,Bangladesh,2021,-1.0928915,-1.0535518,-0.974914899999999,7463.57,110.012054001037,6.64246518111116,7441.069139612541,23.9006822335243,
BGD,Bangladesh,2022,-1.17834859999999,-1.0954422,-0.973641299999999,7255.24,109.8665408168,7.17020479104462,8450.549025339405,23.5005059888653,
BGD,Bangladesh,2023,-1.1987203,-1.0359445,-0.9020256,8259.38,111.280894357567,7.89245848428319,9147.777506655502,24.2003442708621,
