iso3,country_name,n_years,mean_raw_rank,sd_raw_rank,mean_percentile_rank,sd_percentile_rank,mean_score
JOR,Jordan,4,61.75,13.450526631573451,0.6515803276302173,0.10756026499035157,53.639105782499996
JPN,Japan,4,10.5,1.7320508075688772,0.9412035828768872,0.013142476868901215,75.5640330225
KAZ,Kazakhstan,4,71.5,4.123105625617661,0.603099407695948,0.01699746856449268,48.5428266425
KEN,Kenya,4,90.5,9.539392014169454,0.49931637942480767,0.015641225198586343,42.4091561975
KGZ,Kyrgyzstan,4,121.0,15.42724862054151,0.3315047505833355,0.03687290573293237,35.542076425000005
KHM,Cambodia,4,132.25,10.626225419530053,0.26705652168649896,0.01929645834682912,33.2567946925
KIR,Kiribati,3,154.33333333333334,12.503332889007371,0.1761890492295992,0.05975442194839735,29.89216948666667
KNA,Saint Kitts and Nevis,2,104.0,2.8284271247461903,0.4541120052915886,0.004716123940225569,40.425513835000004
KOR,Republic of Korea,4,6.5,2.886751345948129,0.9630309879672394,0.0192214968039403,77.23181353
KWT,Kuwait,4,69.5,5.744562646538029,0.6144867772334396,0.021979337221112845,49.94065512
LAO,Lao People's Democratic Republic,4,129.0,10.61445555206044,0.28535155024725145,0.010102700367069424,33.946304695
LBN,Lebanon,4,81.25,9.287087810503355,0.5448081216718204,0.09005481291869495,44.9173200825
LBR,Liberia,4,169.25,16.152915113584502,0.06323373169977056,0.01625202010696301,23.898484105
LBY,Libya,3,157.0,13.856406460551018,0.16262311054210565,0.053341215665215505,29.133294003333333
LCA,Saint Lucia,4,111.25,5.737304826019503,0.38213945913788766,0.030978889612293815,37.0098248875
LIE,Liechtenstein,2,63.5,0.7071067811865476,0.6665747988093925,0.009899962651382595,54.27023063
LKA,Sri Lanka,4,93.25,8.88350531415762,0.48138346597833787,0.057397896871185176,41.1329229375
LSO,Lesotho,4,159.0,14.071247279470292,0.11957075333723949,0.007887678890768041,27.599290015
LTU,Lithuania,4,34.0,3.366501646120693,0.811419045866525,0.015057507964002464,64.63067548250001
LUX,Luxembourg,4,22.75,4.9916597106239795,0.8746867331444814,0.02190979678897383,70.32902776750001
LVA,Latvia,4,44.75,5.251983752196244,0.7526456353606388,0.011116144453211916,61.070144925
MAR,Morocco,4,90.0,7.527726527090811,0.5002861061996491,0.03796760063698819,42.20190252
MCO,Monaco,1,67.0,,0.6528497409326425,,50.50433586
MDA,Republic of Moldova,4,80.5,12.013880860626733,0.5506272093965896,0.08405342904601366,45.68701945
MDG,Madagascar,4,155.0,10.132456102380443,0.1402505826503136,0.024100004198439415,28.7663946175
MDV,Maldives,4,131.0,24.8327740429189,0.27849444868170137,0.08926118504748695,33.5370982825
MEX,Mexico,4,65.25,5.123475382979798,0.6381168457125526,0.017187991874674943,52.015802969999996
MHL,Marshall Islands,2,122.5,0.7071067811865476,0.3568101642597288,0.015648956710748476,36.66358391
MKD,North Macedonia,4,80.25,6.500000000000002,0.5534965461619233,0.04796475149907605,45.090589557499996
MLI,Mali,4,153.75,11.354147553500729,0.14767658004593592,0.019266895316975726,29.29795935
MLT,Malta,4,35.0,4.69041575982343,0.805822711683338,0.022851782199952746,63.7220651225
MMR,Myanmar,4,137.5,10.408329997330668,0.23655209501349395,0.0529194301873089,32.2959711775
MNE,Montenegro,4,77.0,1.8257418583505558,0.5717506633899787,0.028022564250193564,46.46832109
MNG,Mongolia,4,103.0,4.546060565661952,0.4266676633187177,0.051113550584638436,38.9403628175
MOZ,Mozambique,4,167.25,11.87083260208258,0.07264810227907403,0.024162075610798077,24.655238795000002
MRT,Mauritania,4,141.0,26.49528259898354,0.21526093967266216,0.1525100688009686,31.6300264125
MUS,Mauritius,4,61.25,5.439056290693574,0.6598748550416572,0.02851027106190247,53.3265635575
MWI,Malawi,4,163.25,8.73212459828649,0.09355260179669164,0.04097665481109634,25.873176604999998
MYS,Malaysia,4,28.0,5.944184833375669,0.8419871116502046,0.04803528571650025,67.485057305
NAM,Namibia,4,127.0,14.583095236151571,0.2949346119105814,0.07510922367891182,34.0901845725
NER,Niger,4,165.5,12.233832869001715,0.08271412494191008,0.007672284944383657,25.4964163375
NGA,Nigeria,4,101.75,8.381527307120104,0.4310399103283428,0.09298922597270631,39.3646998675
NIC,Nicaragua,4,150.75,14.38459824488215,0.1652615316112729,0.03053741037241986,29.5516948525
NLD,Netherlands,4,8.0,2.449489742783178,0.9561134667899218,0.011487252975999765,76.329473655
