Country Name,Country Code,Indicator Code,2020,2021,2022,2023,2024,2025
IBRD only,IBD,IP.JRN.ARTC.SC,1335208.3374025575,1485536.7495651806,1641998.3858959188,1733052.0428033443,,
IDA & IBRD total,IBT,GOV_WGI_CC_EST,,,,,,
IDA & IBRD total,IBT,IT.NET.BBND.P2,12.06,13.23,14.29,15.18,15.94,16.76
IDA & IBRD total,IBT,NY.GDP.PCAP.PP.CD,11867.404704423348,13279.410292071314,14703.10179251818,15834.678572765508,16789.13686289206,
IDA & IBRD total,IBT,TX.VAL.TECH.MF.ZS,22.327103664651563,20.809708969908296,21.083021114959383,20.915572386536248,21.00038390449185,
IDA & IBRD total,IBT,IT.CEL.SETS.P2,102.5,104.2,105.2,106.7,107.0,107.8
IDA & IBRD total,IBT,GOV_WGI_PV_EST,,,,,,
IDA & IBRD total,IBT,GOV_WGI_RL_EST,,,,,,
IDA & IBRD total,IBT,SE.TER.ENRR,34.881721496582,36.371711730957,37.5708808898926,38.8012886047363,39.3488082885742,
IDA & IBRD total,IBT,IP.JRN.ARTC.SC,1388069.849737142,1550106.4059354544,1710827.8912718715,1806042.278648543,,
IDA blend,IDB,GOV_WGI_CC_EST,,,,,,
IDA blend,IDB,IT.NET.BBND.P2,1.6,2.0,2.25,2.62,3.0,3.44
IDA blend,IDB,NY.GDP.PCAP.PP.CD,6011.884819036505,6358.441348487044,6994.242772934201,7301.412874067281,7631.62285195617,
IDA blend,IDB,TX.VAL.TECH.MF.ZS,3.022348593817882,2.210012844105449,2.2387105086428383,2.63129210988352,2.938277491718585,
IDA blend,IDB,IT.CEL.SETS.P2,90.4,90.9,95.5,95.3,88.2,84.2
IDA blend,IDB,GOV_WGI_PV_EST,,,,,,
IDA blend,IDB,GOV_WGI_RL_EST,,,,,,
IDA blend,IDB,SE.TER.ENRR,11.1854295730591,11.750789642334,10.9789304733276,11.2455501556397,12.5017795562744,
IDA blend,IDB,IP.JRN.ARTC.SC,30497.650000000005,35836.95,37676.9,40029.28000000001,,
IDA only,IDX,GOV_WGI_CC_EST,,,,,,
IDA only,IDX,IT.NET.BBND.P2,1.61,1.77,2.0,2.2,2.25,2.35
IDA only,IDX,NY.GDP.PCAP.PP.CD,3648.2606862625225,3909.4907910925976,4276.646540274498,4484.057304915204,4697.561422031043,
IDA only,IDX,TX.VAL.TECH.MF.ZS,,2.712562367151768,3.040902797014217,4.0252422638169785,,
IDA only,IDX,IT.CEL.SETS.P2,78.6,80.9,81.8,84.1,86.0,88.6
IDA only,IDX,GOV_WGI_PV_EST,,,,,,
IDA only,IDX,GOV_WGI_RL_EST,,,,,,
IDA only,IDX,SE.TER.ENRR,12.1009197235107,12.3128900527954,12.5317802429199,12.8625402450562,12.8071804046631,
IDA only,IDX,IP.JRN.ARTC.SC,22363.860000000004,28732.700000000008,31152.6,32960.95000000001,,
IDA total,IDA,GOV_WGI_CC_EST,,,,,,
IDA total,IDA,IT.NET.BBND.P2,1.61,1.86,2.09,2.35,2.51,2.73
IDA total,IDA,NY.GDP.PCAP.PP.CD,4471.410300391078,4760.442118664902,5219.703455393812,5459.151497075354,5710.14462861054,
IDA total,IDA,TX.VAL.TECH.MF.ZS,2.82012254961391,2.538245220089491,2.7401925498344726,3.524759456093782,,
IDA total,IDA,IT.CEL.SETS.P2,82.8,84.4,86.6,88.0,86.7,87.1
IDA total,IDA,GOV_WGI_PV_EST,,,,,,
IDA total,IDA,GOV_WGI_RL_EST,,,,,,
IDA total,IDA,SE.TER.ENRR,11.8063497543335,12.1378402709961,12.0069704055786,12.314169883728,12.7190599441528,
IDA total,IDA,IP.JRN.ARTC.SC,52861.51,64569.65,68829.49999999997,72990.22999999998,,
Late-demographic dividend,LTE,GOV_WGI_CC_EST,,,,,,
Late-demographic dividend,LTE,IT.NET.BBND.P2,27.72273646115254,30.54668062976462,34.57932150694096,,,
Late-demographic dividend,LTE,NY.GDP.PCAP.PP.CD,19505.7188725301,22189.594931676293,24509.73541963901,26461.845974942986,28317.791253974367,
Late-demographic dividend,LTE,TX.VAL.TECH.MF.ZS,24.702724510245883,23.968672482230232,25.62389210418281,25.618557637368053,27.77442164440572,
Late-demographic dividend,LTE,IT.CEL.SETS.P2,123.57214496093628,125.81213449334795,126.74582807443632,,,
Late-demographic dividend,LTE,GOV_WGI_PV_EST,,,,,,
Late-demographic dividend,LTE,GOV_WGI_RL_EST,,,,,,
Late-demographic dividend,LTE,SE.TER.ENRR,57.8864784240723,61.8659400939941,65.5056533813477,68.1330413818359,69.3638916015625,
Late-demographic dividend,LTE,IP.JRN.ARTC.SC,986236.39890323,1091063.3013561734,1208186.7541243548,1257986.9955802711,,
Latin America & Caribbean,LCN,GOV_WGI_CC_EST,,,,,,
Latin America & Caribbean,LCN,IT.NET.BBND.P2,15.03,16.59,17.57,18.32,19.39,20.54
Latin America & Caribbean,LCN,NY.GDP.PCAP.PP.CD,16660.462220206577,18694.14077480248,20842.030714929253,22091.99097422575,23104.551980607797,
Latin America & Caribbean,LCN,TX.VAL.TECH.MF.ZS,14.758720446279092,12.576862668398396,12.744693638487009,12.447676963365025,13.110093738094996,
Latin America & Caribbean,LCN,IT.CEL.SETS.P2,102.8,108.7,109.9,112.6,114.6,116.8
Latin America & Caribbean,LCN,GOV_WGI_PV_EST,,,,,,
Latin America & Caribbean,LCN,GOV_WGI_RL_EST,,,,,,
Latin America & Caribbean,LCN,SE.TER.ENRR,54.8686599731445,56.7638816833496,58.2350807189941,60.6225090026855,58.9027099609375,
Latin America & Caribbean,LCN,IP.JRN.ARTC.SC,125121.71137524648,131961.663712025,123599.30307871428,118409.0259301413,,
Latin America & Caribbean (excluding high income),LAC,GOV_WGI_CC_EST,,,,,,
Latin America & Caribbean (excluding high income),LAC,IT.NET.BBND.P2,14.97,16.58,17.6,18.35,19.4,20.54
Latin America & Caribbean (excluding high income),LAC,NY.GDP.PCAP.PP.CD,15959.78619538633,17874.274939402905,19941.487291652586,21091.60974487687,21961.190021174185,
Latin America & Caribbean (excluding high income),LAC,TX.VAL.TECH.MF.ZS,14.874048019404324,12.91806054637754,13.456136327777402,12.698694730816664,13.632644744737872,
Latin America & Caribbean (excluding high income),LAC,IT.CEL.SETS.P2,103.2,109.3,110.4,113.0,115.3,117.7
Latin America & Caribbean (excluding high income),LAC,GOV_WGI_PV_EST,,,,,,
Latin America & Caribbean (excluding high income),LAC,GOV_WGI_RL_EST,,,,,,
Latin America & Caribbean (excluding high income),LAC,SE.TER.ENRR,52.8043212890625,54.614860534668,56.1285705566406,58.5862693786621,56.6634292602539,
Latin America & Caribbean (excluding high income),LAC,IP.JRN.ARTC.SC,113719.01999999996,119313.07,111882.42000000004,106703.72000000002,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GOV_WGI_CC_EST,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,IT.NET.BBND.P2,15.22,16.8,17.79,18.55,19.61,20.76
Latin America & the Caribbean (IDA & IBRD countries),TLA,NY.GDP.PCAP.PP.CD,16581.577334938363,18606.93468266234,20740.59170028772,21983.75168966029,22984.6879888508,
Latin America & the Caribbean (IDA & IBRD countries),TLA,TX.VAL.TECH.MF.ZS,14.661099761260656,12.618773640435212,12.795832939666592,12.502955389242391,13.156797351286956,
Latin America & the Caribbean (IDA & IBRD countries),TLA,IT.CEL.SETS.P2,103.6,109.5,110.6,113.2,115.3,117.5
Latin America & the Caribbean (IDA & IBRD countries),TLA,GOV_WGI_PV_EST,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GOV_WGI_RL_EST,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,SE.TER.ENRR,54.8506698608398,56.7357902526855,58.2713890075684,60.7355194091797,59.0615386962891,
